"","PlotPlantID","ClusterID","InDemographicStudy","Tag_Number","Island","Cluster2","Network","Species","InBigPlantStudy","N.PlotPlantIDs","Easting","Northing","RecruitmentMode","PlantMeasureID","First_Observer_Initials","Second_Observer_Initials","Date","PlantID","Plant_collected","Time","PlantPictures","PlantPictures_Direction","CA_t","CACA_collected","CACA_quantity","ME_t","MEPR_collected","MEPR_quantity","CH_t","CHVI_collected","CHVI_quantity","DA_t","DACT_collected","DACT_quantity","Unknown_Moth_t","UnknownMoth_collected","UnknownMoth_quantity","Old_Moth_Evidence_t","Old_Moth_Evidence_recent","Fungus","Gerstaeckeria_t","Plant_Segments_total","Plant_Segments_w_leaves","Plant_Segments_wo_leaves","Plant_Segments_woody","Height_t","Width_t","Perpen_Width","Num_FlowerBuds","Num_Fruit_red","Num_Fruit_green","Num_Flowers","Num_Fruit","Pollinators","Spiders","Ants","Other_collected_quantity","Plant_Notes","Insect_Notes","Other_Notes","Dead","Missing","OutsideOfPlot","Size_t","Fruit_t","Fruit_Flowers_t","DemographicSurvey","SamplingYear"
"11","9606b","184, 183","yes",184,"Roadway1",183,183,"stricta","",3,NA,NA,NA,7693,"KS","MG",2014-05-26,"9606","No",NA,"4194","E",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,1,3,0,NA,NA,NA,0,0,1,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",4,1,1,"3",2014
"12","9656b","1085","yes",1089,"Roadway1",0,1085,"stricta","",2,NA,NA,NA,7906,"KS","MG",2014-05-28,"9656","No",NA,NA,NA,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,0,1,0,NA,NA,NA,0,0,1,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,1,1,"3",2014
"13","9693b","186","yes",423,"Roadway1",0,186,"stricta","",2,NA,NA,NA,1730,"KS","PH",2013-05-14,"9693","No",NA,"9010","N",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",NA,NA,NA,2,NA,NA,NA,NA,0,0,3,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",2,3,3,"1",2013
"14","9709a","685","yes",685,"Roadway1",0,685,"stricta","",2,NA,NA,NA,16413,"KS",NA,2015-06-15,"9709","No",NA,NA,NA,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,0,2,2,30,NA,NA,0,0,3,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",4,3,3,"5",2015
"15","9893","84","yes",330,"3",0,84,"stricta","",2,NA,NA,"Clonal",1300,"KS","PH",2013-04-13,"9893","No",NA,"8400","E",NA,"No",0,NA,"No",0,NA,"No",0,NA,"No",0,NA,"No",0,NA,"Not Recorded","Not Recorded",NA,NA,0,1,0,NA,NA,NA,0,1,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,1,1,"0",2012
"16","9893","84","yes",330,"3",0,84,"stricta","",2,NA,NA,"Clonal",2067,"KS","PH",2013-05-16,"9893","No",NA,"9316","S",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",NA,NA,0,1,0,6,13,8,0,1,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,1,1,"1",2013
"17","9917d","106","yes",259,"3",0,106,"stricta","",6,NA,NA,NA,1897,"KS","PH",2013-05-15,"9917","No",NA,"9177-9","W",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",NA,NA,0,1,0,NA,NA,NA,1,0,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,"looks like mammal ate part of flower bud",NA,NA,0,0,"",1,0,1,"1",2013
"18","9917e","106","yes",257,"3",0,106,"stricta","",6,NA,NA,NA,6933,"KS",NA,2014-05-08,"9917","No",NA,NA,NA,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",NA,NA,1,NA,NA,NA,NA,NA,9,1,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,1,10,"3",2014
"19","9939a","113","yes",320,"3",0,113,"stricta","",5,NA,NA,NA,7287,"KS",NA,2014-05-19,"9939","No",NA,NA,NA,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,0,1,0,NA,NA,NA,1,0,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,"looks like something ate part of flower bud",NA,0,0,"",1,0,1,"3",2014
"20","9939b","113","yes",315,"3",0,113,"stricta","",5,NA,NA,NA,7326,"KS",NA,2014-05-19,"9939","No",NA,"3876","nw",0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"Not Recorded","Not Recorded",0,NA,0,3,0,62,185,156,3,0,1,1,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,"flower buds and flower have evidence of herbivory","measured whole plant",0,0,"",3,1,5,"3",2014
"21","9972","113","yes",113,"3",0,113,"stricta","",1,NA,NA,"Clonal",1116,"KS","PH",2013-04-01,"9972","No",NA,"8115","E",NA,"No",0,NA,"No",0,NA,"No",0,NA,"No",0,NA,"No",0,NA,"Not Recorded","Not Recorded",NA,NA,0,1,0,NA,NA,NA,0,1,0,0,NA,"Not Recorded","Not Recorded","Not Recorded",NA,NA,NA,NA,0,0,"",1,1,1,"0",2012
