"","PlantID","Date","Insect_Evidence_t","Moth_Evidence_t","Gerstaeckeria_t","Unknown_Moth_t","Old_Moth_Evidence_t","NatInsect_t","Insect_t","DA_t","CH_t","ME_t","CA_t","Height_t","Size_t","SamplingYear","Year","Network","Species","Island","RecruitmentMode","FruitPres_t","Fruit_Flowers_t","FruitFlowerPres_t","Fruit_t","DeadbyEndofYear","MissingbyEndofYear","PrevSamplingYear","PrevYear","OldMothNetworkPres","MENetworkPres","CANetworkPres","MothNetworkPres","OldMothPlantPres","MEPlantPres","CAPlantPres","MothPlantPres","MothNetworkPres_t","CANetworkPres_t","MENetworkPres_t","OldMothNetworkPres_t","OldMothNetworkPres_t_1","MENetworkPres_t_1","CANetworkPres_t_1","MothNetworkPres_t_1","IslandFullNames","MothOccupancy","DeadFactor","PlantIDb","PlantIDc","Alive","Clones_t","Loss_to_Offspring","ClonePres_t","Size_t_1","Height_t_1","Previous_Survey_Date","DaysSincePrevSurvey","DaysSinceStart","CA_t_1","ME_t_1","CH_t_1","DA_t_1","Insect_t_1","NatInsect_t_1","Old_Moth_Evidence_t_1","Unknown_Moth_t_1","Gerstaeckeria_t_1","Moth_Evidence_t_1","Insect_Evidence_t_1","RGR_Height","RGR_Height365","RGR_Size","RGR_Size365"
"11","7105",2015-05-23,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"208","Opuntia stricta","Roadway2","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,"Beach
Dunes","Moth Damage Only,
No Insects Observed","Yes","Roadway2, 7105","Roadway2
7105",0,0,0,0,2,10.5,2014-05-06,382,382,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"12","7122",2015-06-03,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"84","Opuntia stricta","3","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,"Island 1","No Insects Observed","Yes","3, 7122","3
7122",0,0,0,0,1,1,2014-05-19,380,380,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"13","7124",2015-06-03,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"84","Opuntia pusilla","3","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,"Island 1","No Insects Observed","Yes","3, 7124","3
7124",0,0,0,0,1,1,2014-05-19,380,380,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"14","7151",2015-06-25,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"226","Opuntia pusilla","6","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 4","No Insects Observed","No","6, 7151","6
7151",1,0,0,0,1,1,2014-05-21,400,400,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"15","7157",2015-06-03,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"84","Opuntia stricta","3","Clonal",NA,NA,NA,NA,0,0,2014,2014,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,"Island 1","No Insects Observed","No","3, 7157","3
7157",1,0,0,0,1,1,2014-05-08,391,391,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"16","7158",2015-06-03,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"84","Opuntia stricta","3","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,"Island 1","No Insects Observed","Yes","3, 7158","3
7158",0,0,0,0,1,5,2014-05-08,391,391,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"17","7161",2015-06-02,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"106","Opuntia stricta","3","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,"Island 1","Moth Damage Only,
No Insects Observed","Yes","3, 7161","3
7161",0,0,0,0,3,11,2014-05-08,390,390,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"18","7169",2015-05-25,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"209","Opuntia stricta","Roadway2","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,"Beach
Dunes","Invasive Moth","Yes","Roadway2, 7169","Roadway2
7169",0,0,0,0,3,14,2014-05-10,380,380,1,0,0,0,1,0,1,0,0,1,1,NA,NA,NA,NA
"19","7172",2015-06-13,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"209","Opuntia stricta","Roadway2","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,"Beach
Dunes","Moth Damage Only,
No Insects Observed","Yes","Roadway2, 7172","Roadway2
7172",0,0,0,0,1,3,2014-05-10,399,399,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"20","7175",2015-05-25,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"209","Opuntia stricta","Roadway2","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,"Beach
Dunes","Moth Damage Only,
No Insects Observed","Yes","Roadway2, 7175","Roadway2
7175",0,0,0,0,3,6.5,2014-05-10,380,380,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"21","7180",2015-05-25,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"209","Opuntia stricta","Roadway2","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,"Beach
Dunes","Moth Damage Only,
No Insects Observed","Yes","Roadway2, 7180","Roadway2
7180",0,0,0,0,1,4,2014-05-10,380,380,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"22","7184",2015-05-27,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"209","Opuntia stricta","Roadway2","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,"Beach
Dunes","Moth Damage Only,
No Insects Observed","No","Roadway2, 7184","Roadway2
7184",1,0,0,0,1,1.5,2014-05-11,381,381,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"23","7185",2015-05-24,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"209","Opuntia stricta","Roadway2","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,"Beach
Dunes","Moth Damage Only,
No Insects Observed","Yes","Roadway2, 7185","Roadway2
7185",0,0,0,0,1,8,2014-05-11,378,378,0,0,0,0,0,0,1,0,NA,1,1,NA,NA,NA,NA
"24","7187",2015-05-24,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"209","Opuntia stricta","Roadway2","Unknown",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,"Beach
Dunes","No Insects Observed","Yes","Roadway2, 7187","Roadway2
7187",0,0,0,0,1,8,2014-05-11,378,378,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"25","7193",2015-05-25,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"209","Opuntia stricta","Roadway2","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,"Beach
Dunes","Moth Damage Only,
No Insects Observed","Yes","Roadway2, 7193","Roadway2
7193",0,0,0,0,1,1,2014-05-12,378,378,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"26","7197",2015-05-25,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"209","Opuntia stricta","Roadway2","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,"Beach
Dunes","Moth Damage Only,
No Insects Observed","Yes","Roadway2, 7197","Roadway2
7197",0,0,0,0,1,2,2014-05-12,378,378,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"27","7201",2015-06-13,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"207","Opuntia stricta","Roadway2","Unknown",NA,NA,NA,NA,0,1,2014,2014,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,"Beach
Dunes","No Insects Observed","No","Roadway2, 7201","Roadway2
7201",1,0,0,0,2,0.5,2014-05-12,397,397,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"28","7204",2015-06-14,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"183","Opuntia stricta","Roadway1","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,"Coastal
Grassland","No Insects Observed","Yes","Roadway1, 7204","Roadway1
7204",0,0,0,0,1,1.5,2014-05-26,384,384,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"29","7205",2015-06-14,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"183","Opuntia stricta","Roadway1","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,"Coastal
Grassland","Moth Damage Only,
No Insects Observed","Yes","Roadway1, 7205","Roadway1
7205",0,0,0,0,1,8,2014-05-26,384,384,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"30","7208",2015-06-14,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"183","Opuntia stricta","Roadway1","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,"Coastal
Grassland","No Insects Observed","Yes","Roadway1, 7208","Roadway1
7208",0,0,0,0,1,12,2014-05-26,384,384,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"31","7212",2015-06-14,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"183","Opuntia stricta","Roadway1","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,"Coastal
Grassland","Moth Damage Only,
No Insects Observed","Yes","Roadway1, 7212","Roadway1
7212",0,0,0,0,1,2.5,2014-05-26,384,384,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"32","7219",2013-12-17,1,1,0,0,1,0,0,0,0,0,0,NA,NA,2013,2013,"1099","Opuntia stricta","Roadway1","Clonal",0,0,0,0,0,0,2012,2012,1,0,1,1,1,0,0,1,1,0,0,1,NA,NA,NA,NA,"Coastal
Grassland","Moth Damage Only,
No Insects Observed","No","Roadway1, 7219","Roadway1
7219",1,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","7219",2015-06-26,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"1099","Opuntia stricta","Roadway1","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,"Coastal
Grassland","Moth Damage Only,
No Insects Observed","Yes","Roadway1, 7219","Roadway1
7219",0,0,0,0,1,1,2014-05-27,395,556,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"34","7224",2015-06-29,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"1099","Opuntia stricta","Roadway1","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,"Coastal
Grassland","No Insects Observed","Yes","Roadway1, 7224","Roadway1
7224",0,0,0,0,3,7.5,2014-05-28,397,397,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"35","7225",2015-06-29,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"1099","Opuntia stricta","Roadway1","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,"Coastal
Grassland","No Insects Observed","Yes","Roadway1, 7225","Roadway1
7225",0,0,0,0,3,7,2014-05-28,397,397,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"36","7228",2013-12-18,1,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,2013,2013,"84","Opuntia pusilla","3","Clonal",0,0,0,0,0,0,2012,2012,1,0,1,1,0,0,0,1,1,1,0,1,NA,NA,NA,NA,"Island 1","No Insects Observed","No","3, 7228","3
7228",1,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","7228",2014-05-19,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2014,2014,"84","Opuntia pusilla","3","Clonal",0,0,0,0,1,1,2013,2013,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,"Island 1","No Insects Observed","Yes","3, 7228","3
7228",0,0,0,0,NA,NA,2013-12-18,152,152,NA,NA,NA,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,NA
"38","7236",2015-06-03,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"84","Opuntia stricta","3","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,"Island 1","No Insects Observed","Yes","3, 7236","3
7236",0,0,0,0,1,NA,2014-09-05,271,271,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"39","7238",2015-06-03,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"84","Opuntia pusilla","3","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,"Island 1","No Insects Observed","No","3, 7238","3
7238",1,0,0,0,1,NA,2014-09-05,271,271,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"40","7239",2015-06-03,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"84","Opuntia pusilla","3","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,"Island 1","No Insects Observed","Yes","3, 7239","3
7239",0,0,0,0,1,NA,2014-09-05,271,271,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"41","7313",2015-07-02,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"969","Opuntia stricta","7","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 5","No Insects Observed","No","7, 7313","7
7313",1,0,0,0,1,2.5,2014-06-17,380,380,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"42","7324",2015-06-23,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"282","Opuntia pusilla","Roadway1","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,"Coastal
Grassland","No Insects Observed","No","Roadway1, 7324","Roadway1
7324",1,0,0,0,2,1,2014-06-02,386,386,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"43","7325",2015-06-23,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"282","Opuntia stricta","Roadway1","Green Fruit",NA,NA,NA,NA,0,1,2014,2014,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,"Coastal
Grassland","No Insects Observed","No","Roadway1, 7325","Roadway1
7325",1,0,0,0,3,10.5,2014-06-02,386,386,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"44","7328",2015-06-08,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"139","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","No","5, 7328","5
7328",1,0,0,0,2,3,2014-06-03,370,370,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"45","7329",2015-06-08,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"139","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","No","5, 7329","5
7329",1,0,0,0,1,2,2014-06-03,370,370,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"46","7330",2015-06-08,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"139","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","No","5, 7330","5
7330",1,0,0,0,3,1.5,2014-06-03,370,370,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"47","7332",2015-06-08,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"139","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","No","5, 7332","5
7332",1,0,0,0,2,3,2014-06-03,370,370,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"48","7336",2015-06-08,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"139","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","No","5, 7336","5
7336",1,0,0,0,1,0.5,2014-06-03,370,370,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"49","7343",2015-06-08,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"139","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","No","5, 7343","5
7343",1,0,0,0,2,2.5,2014-06-03,370,370,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"50","7344",2015-06-08,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"139","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","No","5, 7344","5
7344",1,0,0,0,1,1,2014-06-03,370,370,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"51","7353",2015-06-08,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"139","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","No","5, 7353","5
7353",1,0,0,0,2,2,2014-06-03,370,370,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"52","7355",2015-06-08,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"139","Opuntia stricta","5","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","Yes","5, 7355","5
7355",0,0,0,0,3,4,2014-06-03,370,370,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"53","7364",2015-06-12,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"134","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","Yes","5, 7364","5
7364",0,0,0,0,2,2,2014-06-04,373,373,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"54","7365",2015-06-12,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"134","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","Yes","5, 7365","5
7365",0,0,0,0,1,2,2014-06-04,373,373,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"55","7370",2015-07-23,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"134","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","Yes","5, 7370","5
7370",0,0,0,0,3,5.5,2014-06-04,414,414,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"56","7371",2015-06-05,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"134","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","Yes","5, 7371","5
7371",0,0,0,0,1,1,2014-06-04,366,366,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"57","7372",2015-06-05,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"134","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","No","5, 7372","5
7372",1,0,0,0,2,2,2014-06-04,366,366,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"58","7379",2015-06-24,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"147","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","No","5, 7379","5
7379",1,0,0,0,2,2.5,2014-06-08,381,381,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
